mode: set
goFuzz/fuzzer/fuzzer.go:12.74,14.60 1 0
goFuzz/fuzzer/metrics.go:58.18,60.13 2 0
goFuzz/fuzzer/metrics.go:62.40,64.13 2 0
goFuzz/fuzzer/metrics.go:66.42,68.13 2 0
goFuzz/fuzzer/metrics.go:71.18,73.13 2 0
goFuzz/fuzzer/metrics.go:75.19,77.13 2 0
goFuzz/fuzzer/metrics.go:85.60,98.2 1 0
goFuzz/fuzzer/metrics.go:100.70,110.16 9 0
goFuzz/fuzzer/metrics.go:113.2,113.15 1 0
goFuzz/fuzzer/metrics.go:110.16,112.3 1 0
goFuzz/fuzzer/op_cov.go:28.57,31.16 3 0
goFuzz/fuzzer/op_cov.go:34.2,35.16 2 0
goFuzz/fuzzer/op_cov.go:39.2,41.28 3 0
goFuzz/fuzzer/op_cov.go:45.2,48.32 2 0
goFuzz/fuzzer/op_cov.go:52.2,52.34 1 0
goFuzz/fuzzer/op_cov.go:56.2,56.45 1 0
goFuzz/fuzzer/op_cov.go:60.2,60.22 1 0
goFuzz/fuzzer/op_cov.go:31.16,33.3 1 0
goFuzz/fuzzer/op_cov.go:35.16,37.3 1 0
goFuzz/fuzzer/op_cov.go:41.28,43.3 1 0
goFuzz/fuzzer/op_cov.go:48.32,50.3 1 0
goFuzz/fuzzer/op_cov.go:52.34,54.3 1 0
goFuzz/fuzzer/op_cov.go:56.45,58.3 1 0
goFuzz/fuzzer/op_cov.go:65.83,68.29 3 1
goFuzz/fuzzer/op_cov.go:80.2,80.21 1 1
goFuzz/fuzzer/op_cov.go:68.29,69.17 1 1
goFuzz/fuzzer/op_cov.go:72.3,73.22 2 1
goFuzz/fuzzer/op_cov.go:77.3,77.31 1 1
goFuzz/fuzzer/op_cov.go:69.17,70.12 1 1
goFuzz/fuzzer/op_cov.go:73.22,75.12 2 0
goFuzz/fuzzer/op_cov.go:83.40,87.2 3 0
goFuzz/fuzzer/op_cov.go:88.70,89.25 1 1
goFuzz/fuzzer/op_cov.go:92.2,92.25 1 1
goFuzz/fuzzer/op_cov.go:89.25,91.3 1 0
goFuzz/fuzzer/op_cov.go:92.25,93.43 1 1
goFuzz/fuzzer/op_cov.go:93.43,95.4 1 1
goFuzz/fuzzer/op_cov.go:99.51,104.2 4 0
goFuzz/fuzzer/op_cov.go:106.117,110.52 3 1
goFuzz/fuzzer/op_cov.go:114.2,114.37 1 1
goFuzz/fuzzer/op_cov.go:129.2,129.15 1 1
goFuzz/fuzzer/op_cov.go:110.52,112.3 1 0
goFuzz/fuzzer/op_cov.go:114.37,117.12 2 1
goFuzz/fuzzer/op_cov.go:117.12,118.13 1 1
goFuzz/fuzzer/op_cov.go:119.18,120.28 1 1
goFuzz/fuzzer/op_cov.go:121.39,122.26 1 1
goFuzz/fuzzer/op_cov.go:123.12,124.39 1 0
goFuzz/fuzzer/op_cov.go:132.58,134.2 1 0
goFuzz/fuzzer/op_cov.go:136.90,140.23 3 1
goFuzz/fuzzer/op_cov.go:144.2,146.25 2 1
goFuzz/fuzzer/op_cov.go:165.2,165.15 1 1
goFuzz/fuzzer/op_cov.go:140.23,142.3 1 0
goFuzz/fuzzer/op_cov.go:146.25,147.34 1 1
goFuzz/fuzzer/op_cov.go:150.3,153.12 3 1
goFuzz/fuzzer/op_cov.go:147.34,148.12 1 0
goFuzz/fuzzer/op_cov.go:153.12,154.13 1 1
goFuzz/fuzzer/op_cov.go:155.18,156.28 1 0
goFuzz/fuzzer/op_cov.go:157.39,158.26 1 1
goFuzz/fuzzer/op_cov.go:159.12,160.39 1 0
goFuzz/fuzzer/op_cov.go:168.78,172.2 3 0
goFuzz/fuzzer/op_cov.go:174.88,178.2 3 0
goFuzz/fuzzer/case_cov.go:22.67,27.2 4 0
goFuzz/fuzzer/case_cov.go:29.110,30.45 1 1
goFuzz/fuzzer/case_cov.go:34.2,41.28 2 1
goFuzz/fuzzer/case_cov.go:50.2,51.12 2 1
goFuzz/fuzzer/case_cov.go:30.45,32.3 1 0
goFuzz/fuzzer/case_cov.go:41.28,43.37 2 1
goFuzz/fuzzer/case_cov.go:47.3,47.67 1 1
goFuzz/fuzzer/case_cov.go:43.37,46.4 2 1
goFuzz/fuzzer/case_cov.go:54.70,59.2 4 0
goFuzz/fuzzer/case_cov.go:61.113,64.12 2 1
goFuzz/fuzzer/case_cov.go:67.2,67.28 1 1
goFuzz/fuzzer/case_cov.go:73.2,76.12 3 1
goFuzz/fuzzer/case_cov.go:64.12,66.3 1 0
goFuzz/fuzzer/case_cov.go:67.28,71.3 3 1
goFuzz/fuzzer/case_cov.go:79.70,83.12 4 0
goFuzz/fuzzer/case_cov.go:86.2,89.12 3 0
goFuzz/fuzzer/case_cov.go:92.2,92.14 1 0
goFuzz/fuzzer/case_cov.go:83.12,85.3 1 0
goFuzz/fuzzer/case_cov.go:89.12,91.3 1 0
goFuzz/fuzzer/case_cov.go:95.82,100.2 4 0
goFuzz/fuzzer/case_cov.go:103.125,105.12 2 1
goFuzz/fuzzer/case_cov.go:108.2,109.16 2 1
goFuzz/fuzzer/case_cov.go:113.2,114.43 2 1
goFuzz/fuzzer/case_cov.go:120.2,122.96 2 1
goFuzz/fuzzer/case_cov.go:105.12,107.3 1 0
goFuzz/fuzzer/case_cov.go:109.16,111.3 1 0
goFuzz/fuzzer/case_cov.go:114.43,115.50 1 1
goFuzz/fuzzer/case_cov.go:115.50,117.4 1 1
